"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"L4",2,5,"p",3,56,0,326.576271186441,0.770813559322034,335.237288135593
"L7",2,1,"p",0,59,1,247.440677966102,0.768745762711864,312.881355932203
"L7",2,2,"a",19,21,1,290.575,0.7349,268.475
"L7",2,3,"a",23,16,1,256.179487179487,0.663589743589744,253.846153846154
"L7",2,4,"a",12,27,1,291.307692307692,0.606923076923077,236.487179487179
"L7",2,5,"p",0,56,1,258.821428571429,0.760089285714286,316.375
"M5",2,1,"p",1,56,1,258.245614035088,0.853157894736842,361.771929824561
"M5",2,2,"a",1,37,1,311.631578947368,0.794947368421053,335.684210526316
"M5",2,3,"a",2,37,1,306,0.791358974358974,322.666666666667
"M5",2,4,"a",4,36,1,298.25,0.8029,334.075
"M5",2,5,"p",2,52,1,241.722222222222,0.788759259259259,361.981481481481
"N0",2,1,"p",0,55,1,405.727272727273,0.759381818181818,220.563636363636
"N0",2,2,"a",11,25,1,446.583333333333,0.628416666666667,182.166666666667
"N0",2,3,"a",7,31,1,429.842105263158,0.560289473684211,170.894736842105
"N0",2,4,"a",6,31,1,442.783783783784,0.589972972972973,177.783783783784
"N0",2,5,"p",5,48,1,369.584905660377,0.679641509433962,192.094339622642
"N1",2,1,"p",4,52,0,299.875,0.813964285714286,478.839285714286
"N1",2,2,"a",5,34,0,351.51282051282,0.840897435897436,458.51282051282
"N1",2,3,"a",3,35,0,334.210526315789,0.857973684210526,369.342105263158
"N1",2,4,"a",6,34,0,292.3,0.957625,465.225
"N1",2,5,"p",0,59,0,293.186440677966,0.839677966101695,410.322033898305
"N3",2,1,"p",0,60,0,264.916666666667,0.803133333333333,246.783333333333
"N3",2,2,"a",3,36,0,304.74358974359,0.806179487179487,259.358974358974
"N3",2,3,"a",1,37,0,301.052631578947,0.845947368421053,275.815789473684
"N3",2,4,"a",3,37,0,269.325,0.799575,256.3
"N3",2,5,"p",0,59,0,254.71186440678,0.793016949152542,274.627118644068
"N6",2,1,"p",5,45,1,228.36,0.51786,211.8
"N6",2,2,"a",16,13,1,260.448275862069,0.39351724137931,358.689655172414
"N6",2,3,"a",17,18,1,269.057142857143,0.494857142857143,279.457142857143
"N6",2,4,"a",23,14,1,278.297297297297,0.531594594594595,274.567567567568
"N6",2,5,"p",10,50,1,276.1,0.549716666666667,357.15
"N9",2,1,"p",0,60,1,278.85,0.837766666666667,429.566666666667
"N9",2,2,"a",1,39,1,298.75,0.698375,304.575
"N9",2,3,"a",1,39,1,316.1,0.72415,247.2
"N9",2,4,"a",3,37,1,296.95,0.804475,261.3
"N9",2,5,"p",0,60,1,248.95,0.796866666666667,306.883333333333
"P0",2,1,"p",0,60,0,251.116666666667,0.818816666666667,351.25
"P0",2,2,"a",0,38,0,339.421052631579,0.729105263157895,344.789473684211
"P0",2,3,"a",1,39,0,317.225,0.7312,341.35
"P0",2,4,"a",0,40,0,333.05,0.71815,346.275
"P0",2,5,"p",0,58,0,267.172413793103,0.791586206896552,343.155172413793
